3474574666517607|02|2027|055
3612787071607234|10|2025|868
8262335035601463|08|2025|563
1852651742417410|04|2026|436
1477400800427001|05|2028|820
0127227740877540|06|2026|067
8255506732363222|12|2025|644
7038610212454844|06|2028|170
1650525636563576|10|2026|150
8303451113764585|06|2027|603
0888033130540873|04|2025|458
6040418548681504|01|2025|477
1123828023002805|07|2026|550
2816606203602184|02|2025|336
1152123854155680|03|2026|586
6673620253538167|03|2025|352
8777550138566268|03|2027|540
3103846114714575|12|2027|844
7852447220715137|04|2026|265
4211558347826251|03|2026|725
4673440238333237|01|2026|667
0055084250083316|12|2025|371
7456251186426451|02|2026|328
2737110656743773|05|2028|725
5833517826240876|08|2028|006
2111044348727306|09|2027|528
5723671757875284|03|2028|360
6706183111871743|07|2025|750
8477222715462534|06|2027|134
6124553200755540|02|2027|024
0070785264015802|06|2028|451
4424116257680631|05|2026|618
5447034510235814|01|2028|082
8060876044087156|04|2027|482
7067473222230660|07|2025|840
1564158841835566|06|2026|368
1070766034683770|07|2025|855
5847614411380862|04|2028|563
2470456025472045|05|2025|742
4331615340464723|08|2028|066
5131458658082665|01|2027|775
1717607386162667|01|2026|607
6686400533745733|08|2028|472
0653661302280325|02|2025|732
8577862213551574|01|2026|884
8625714003443383|12|2026|340
3722321565672251|03|2025|161
8501311001112430|04|2028|388
5865016244544648|12|2026|851
2011342730464624|03|2027|247
6867473106735267|01|2026|635
3242284644208235|10|2028|860
4816883105807734|09|2026|652
8787610177710173|07|2025|413
8552052873228304|02|2025|301
2131351541544131|01|2028|183
7616278067571755|09|2027|083
8483711104072005|09|2025|080
3105825001718814|08|2025|404
7162323355223707|02|2026|035
0854125733284865|06|2027|710
2055758426070564|05|2025|551
1837224256203608|08|2026|558
6506851227315563|06|2027|786
7456448525754110|09|2025|137
1030256032760647|12|2026|376
4327858885834613|07|2026|518
3230512488616376|11|2028|015
5331617474488558|11|2025|642
5052114148168128|08|2028|334
5138754161151085|04|2028|867
1562077326347271|06|2025|083
8263177017738742|07|2025|861
5683644316652500|03|2025|231
5743772446312113|12|2027|623
2056655303270516|03|2027|414
3481428446305752|03|2026|203
2072362857648441|03|2027|164
7041138606300543|10|2027|822
7768332428020683|02|2025|667
1377072216716268|10|2025|040
6621764621700365|08|2028|754
0881810305750222|10|2028|333
6223716435450266|09|2026|356
0252464473168501|01|2028|843
2356658783564678|10|2025|154
4258213151438538|03|2027|810
4461044861880047|11|2026|713
2053774376842136|02|2025|640
1521373247820060|12|2026|071
4700033843304748|05|2027|410
1347340335735106|03|2025|043
0030304282534585|01|2028|528
4021800608102513|05|2025|634
7173037774414120|02|2028|303
2812266774848726|08|2026|263
6575667786608081|08|2027|638
4082152708287570|11|2025|270
6808662346158676|06|2025|162
7628343611112344|01|2027|615
1253861382312111|10|2025|041
5076448344641872|01|2028|654
4344352051172585|08|2027|122
6117211775022528|05|2025|084
8653765810484221|10|2028|862
8122201227601887|04|2025|485
4478153240136632|12|2025|504
8352871306236366|06|2025|384
8372318264177444|05|2025|003
1653220442227023|05|2027|014
6120041081407062|08|2028|277
3784041611780180|01|2026|620
7087481845162570|02|2025|134
5684215253562884|01|2028|350
5236254037808670|10|2028|460
0752181162764870|09|2026|118
8173021570637355|09|2025|552
3511103584382012|05|2026|630
7187833725110120|05|2025|845
4414055805284516|09|2027|772
7528187088378024|05|2025|032
7587167352162047|05|2028|714
6548535320872386|07|2026|420
1551806601583868|11|2026|660
1685141241251323|04|2027|845
1136532270736728|11|2028|557
2520331238046326|07|2026|053
6205347540061673|08|2027|005
1677206145373620|06|2027|727
5580227362721710|02|2028|335
6075382134637684|04|2027|336
3006522301511680|03|2028|184
6344052216650062|08|2025|114
8076061732462662|12|2026|303
3026518855588674|12|2025|457
2504352858411822|06|2027|712
6177555257050341|08|2026|758
1243255485574581|11|2028|530
1283818460785810|09|2025|145
5734531136230345|03|2025|565
1415167883708038|03|2025|277
4334126075366544|09|2025|354
5178480832741614|10|2027|038
8417656402682487|06|2028|504
6880588788178073|07|2028|773
8083113260388602|07|2025|150
6777653550757474|01|2025|700
5846533083023876|04|2028|164
0772424636687681|11|2027|077
6505508012565445|05|2027|221
2122088723456046|10|2025|321
4270212838352470|04|2025|521
8158238736832782|05|2027|042
3608770425702287|05|2025|166
4473774673511176|08|2028|248
3645621025655422|03|2027|656
5266620386724044|08|2025|445
0463685843780600|02|2026|536
4176440025852342|09|2027|772
5141438668277768|12|2025|667
2870403223073353|07|2028|185
2754180221341567|08|2025|508
7221648546337704|04|2028|675
8654136535481356|11|2028|412
2013450011280268|02|2026|481
4535834426753461|08|2026|035
2843536321714156|09|2026|072
5488576504541045|12|2027|705
0562216716770476|04|2028|871
4354387355852182|04|2026|701
8555104128716240|09|2027|713
6133547105513482|09|2028|402
3246241035178282|02|2026|144
0478256453128101|03|2028|215
1004040107633562|09|2027|764
3668452066025701|08|2025|850
0314003823661777|03|2028|807
0275073475680612|05|2028|218
4143500163787236|04|2026|244
8286125813163758|10|2025|768
2488314723127488|01|2026|562
3406466468885634|01|2026|448
5157615327116856|11|2028|354
6767122068621020|01|2028|028
2276730553025375|09|2028|061
1632383238336204|02|2028|738
2111470666481434|05|2026|365
7216721032286516|03|2028|637
2875108760655083|08|2026|605
3105770358865000|04|2025|202
1270280375838702|01|2027|414
6747318022247267|12|2027|152
7054001321241125|12|2027|305
6820262376511326|07|2026|042
1222775763622237|02|2027|463
8418168104024256|05|2026|565
